GameDate, GameID, Visitor, Home
2026-01-22,0022500627,CHA,ORL
2026-01-22,0022500628,HOU,PHI
2026-01-22,0022500629,DEN,WAS
2026-01-22,0022500630,GSW,DAL
2026-01-22,0022500631,CHI,MIN
2026-01-22,0022500632,SAS,UTA
2026-01-22,0022500633,LAL,LAC
2026-01-22,0022500634,MIA,POR
2026-01-23,0022500635,HOU,DET
2026-01-23,0022500636,PHX,ATL
2026-01-23,0022500637,BOS,BKN
2026-01-23,0022500638,SAC,CLE
2026-01-23,0022500639,NOP,MEM
2026-01-23,0022500640,DEN,MIL
2026-01-23,0022500641,IND,OKC
2026-01-23,0022500642,TOR,POR
2026-01-24,0022500643,NYK,PHI
2026-01-24,0022500644,GSW,MIN
2026-01-24,0022500645,WAS,CHA
2026-01-24,0022500646,CLE,ORL
2026-01-24,0022500647,BOS,CHI
2026-01-24,0022500648,LAL,DAL
2026-01-24,0022500649,MIA,UTA
2026-01-25,0022500650,SAC,DET
2026-01-25,0022500651,DEN,MEM
2026-01-25,0022500652,DAL,MIL
2026-01-25,0022500653,TOR,OKC
2026-01-25,0022500654,NOP,SAS
2026-01-25,0022500655,MIA,PHX
2026-01-25,0022500656,BKN,LAC
2026-01-26,0022500657,PHI,CHA
2026-01-26,0022500658,ORL,CLE
2026-01-26,0022500659,IND,ATL
2026-01-26,0022500660,POR,BOS
2026-01-26,0022500661,LAL,CHI
2026-01-26,0022500662,MEM,HOU
2026-01-26,0022500663,GSW,MIN
2026-01-27,0022500664,POR,WAS
2026-01-27,0022500665,SAC,NYK
2026-01-27,0022500666,MIL,PHI
2026-01-27,0022500667,NOP,OKC
2026-01-27,0022500668,DET,DEN
2026-01-27,0022500669,BKN,PHX
2026-01-27,0022500670,LAC,UTA
2026-01-28,0022500671,LAL,CLE
2026-01-28,0022500672,CHI,IND
2026-01-28,0022500673,ATL,BOS
2026-01-28,0022500674,ORL,MIA
2026-01-28,0022500675,NYK,TOR
2026-01-28,0022500676,CHA,MEM
2026-01-28,0022500677,MIN,DAL
2026-01-28,0022500678,GSW,UTA
2026-01-28,0022500679,SAS,HOU
2026-01-29,0022500680,SAC,PHI
2026-01-29,0022500681,MIL,WAS
2026-01-29,0022500682,HOU,ATL
2026-01-29,0022500683,CHA,DAL
2026-01-29,0022500684,BKN,DEN
2026-01-29,0022500685,DET,PHX
2026-01-29,0022500686,OKC,MIN
2026-01-30,0022500687,TOR,ORL
2026-01-30,0022500688,LAL,WAS
2026-01-30,0022500689,SAC,BOS
2026-01-30,0022500690,POR,NYK
2026-01-30,0022500691,MEM,NOP
2026-01-30,0022500692,CHI,MIA
2026-01-30,0022500693,CLE,PHX
2026-01-30,0022500694,BKN,UTA
2026-01-30,0022500695,LAC,DEN
2026-01-30,0022500696,DET,GSW
2026-01-31,0022500697,SAS,CHA
2026-01-31,0022500698,ATL,IND
2026-01-31,0022500699,NOP,PHI
2026-01-31,0022500700,MIN,MEM
2026-01-31,0022500701,DAL,HOU
2026-02-01,0022500702,MIL,BOS
2026-02-01,0022500703,ORL,SAS
2026-02-01,0022500704,BKN,DET
2026-02-01,0022500705,CHI,MIA
2026-02-01,0022500706,UTA,TOR
2026-02-01,0022500707,SAC,WAS
2026-02-01,0022500708,LAL,NYK
2026-02-01,0022500709,LAC,PHX
2026-02-01,0022500710,CLE,POR
2026-02-01,0022500711,OKC,DEN
2026-02-02,0022500712,NOP,CHA
2026-02-02,0022500713,HOU,IND
2026-02-02,0022500714,MIN,MEM
2026-02-02,0022500715,PHI,LAC
2026-02-03,0022500716,DEN,DET
2026-02-03,0022500717,UTA,IND
2026-02-03,0022500718,NYK,WAS
2026-02-03,0022500719,LAL,BKN
2026-02-03,0022500720,ATL,MIA
2026-02-03,0022500721,BOS,DAL
2026-02-03,0022500722,CHI,MIL
2026-02-03,0022500723,ORL,OKC
2026-02-03,0022500724,PHI,GSW
2026-02-03,0022500725,PHX,POR
2026-02-04,0022500726,DEN,NYK
2026-02-04,0022500727,MIN,TOR
2026-02-04,0022500728,BOS,HOU
